CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate
C.S. ENGINEERING (SOUTH EAST) LIMITED,10231623,,,121 WISHING TREE ROAD,,ST. LEONARDS-ON-SEA,EAST SUSSEX,ENGLAND,TN38 9LH,Private Limited Company,Active,United Kingdom,NA,14/06/2016,31,3,31/12/2020,31/03/2019,,12/07/2017,,0,0,0,0,25990 - Manufacture of other fabricated metal products n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10231623,,,,,,,,,,,,,,,,,,,,,27/06/2020,13/06/2019
M&M IT LTD,12016217,,,12 BEATON AVENUE,,LITTLEHAMPTON,WEST SUSSEX,UNITED KINGDOM,BN17 7SL,Private Limited Company,Active,United Kingdom,NA,24/05/2019,31,5,24/02/2021,,NO ACCOUNTS FILED,21/06/2020,,0,0,0,0,62012 - Business and domestic software development,62020 - Information technology consultancy activities,62090 - Other information technology service activities,63120 - Web portals,0,0,http://business.data.gov.uk/id/company/12016217,,,,,,,,,,,,,,,,,,,,,06/06/2020,
MERCURY RESOURCES (UK) LIMITED,02888172,,,J LEE MANAGEMENT,65 REGENTS PARK ROAD,SOUTHAMPTON,HAMPSHIRE,,SO15 8PF,Private Limited Company,Active,United Kingdom,NA,17/01/1994,31,8,31/05/2020,31/08/2018,,14/02/2017,17/01/2016,0,0,0,0,71121 - Engineering design activities for industrial process and production,74100 - specialised design activities,,,0,0,http://business.data.gov.uk/id/company/02888172,,,,,,,,,,,,,,,,,,,,,31/01/2021,17/01/2020
KAREN JULIA LIMITED,SC436674,,,42 DUDHOPE CRESCENT ROAD,,DUNDEE,,,DD1 5RR,Private Limited Company,Active - Proposal to Strike off,United Kingdom,NA,12/11/2012,30,11,31/08/2020,30/11/2018,,10/12/2016,12/11/2015,0,0,0,0,96020 - Hairdressing and other beauty treatment,,,,0,0,http://business.data.gov.uk/id/company/SC436674,,,,,,,,,,,,,,,,,,,,,26/11/2019,12/11/2018
65 WOOD STREET MANAGEMENT LIMITED,05171480,,,65 WOOD STREET,,BARNET,HERTFORDSHIRE,,EN5 4BT,Private Limited Company,Active,United Kingdom,NA,06/07/2004,31,12,30/09/2020,31/12/2018,DORMANT,03/08/2016,06/07/2015,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/05171480,,,,,,,,,,,,,,,,,,,,,20/07/2020,06/07/2019
MICHAEL SHELLIM INVESTMENTS LIMITED,07742551,,,HOLLY HOUSE,220 NEW LONDON ROAD,CHELMSFORD,,,CM2 9AE,Private Limited Company,Active,United Kingdom,NA,16/08/2011,31,8,31/05/2021,31/08/2019,DORMANT,14/09/2016,17/08/2015,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/07742551,,,,,,,,,,,,,,,,,,,,,31/08/2020,17/08/2019
COMMUNITY TRANSPORT (SOUTH WEST) LIMITED,06014757,,,UNIT 5 YEOVIL SMALL BUSINESS,CENTRE HOUNDSTONE BUSINESS PARK,YEOVIL,SOMERSET,,BA22 8WA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,NA,30/11/2006,31,12,30/09/2020,31/12/2018,FULL,28/12/2016,30/11/2015,0,0,0,0,63990 - Other information service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/06014757,06/06/2019,SOUTH SOMERSET ASSOCIATION FOR VOLUNTARY AND COMMUNITY ACTION LIMITED,,,,,,,,,,,,,,,,,,,14/12/2020,30/11/2019
PRIMARY NETWORK PRODUCTS (UK) LTD,05529842,,,CHANCERY HOUSE,30 ST JOHNS ROAD,WOKING,SURREY,,GU21 7SA,Private Limited Company,Active,United Kingdom,NA,08/08/2005,31,12,30/09/2020,31/12/2018,TOTAL EXEMPTION FULL,05/09/2016,08/08/2015,0,0,0,0,"46510 - Wholesale of computers, computer peripheral equipment and software",,,,0,0,http://business.data.gov.uk/id/company/05529842,,,,,,,,,,,,,,,,,,,,,22/08/2020,08/08/2019
AXIS TRAINING LIMITED,09888563,,,30 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1Y 2AB,Private Limited Company,Active,United Kingdom,NA,25/11/2015,30,11,31/08/2020,30/11/2018,TOTAL EXEMPTION FULL,23/12/2016,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/09888563,26/04/2017,ACMK LTD,,,,,,,,,,,,,,,,,,,08/12/2020,24/11/2019
CORPORATE COMICS LTD,12465750,,,26 CAVENDISH STREET,,PETERBOROUGH,,ENGLAND,PE1 5EG,Private Limited Company,Active,United Kingdom,NA,17/02/2020,29,2,17/11/2021,,NO ACCOUNTS FILED,17/03/2021,,0,0,0,0,73110 - Advertising agencies,,,,0,0,http://business.data.gov.uk/id/company/12465750,,,,,,,,,,,,,,,,,,,,,02/03/2021,
